Pesel	kod_szczepionki	data_szczepienia	dawka
50070500199	sz7_5d	2023-01-29	3
79051600163	sz10_4d	2023-12-12	1
02321900168	sz21_5d	2023-01-31	1
95030600117	sz3_5d	2023-11-03	2
76121600186	sz24_3d	2023-01-12	1
77112300142	sz10_4d	2023-06-24	2
85061900104	sz22_3d	2023-06-25	2
95112200187	sz14_1d	2023-09-30	1
59051400147	sz1_3d	2023-06-23	1
70080200173	sz15_5d	2023-07-15	1
94051700149	sz21_5d	2023-03-13	4
39010600195	sz6_3d	2023-07-02	1
68080700199	sz7_5d	2023-05-08	5
80031000141	sz20_5d	2023-09-14	3
91050900136	sz21_5d	2023-05-09	5
77052200177	sz4_2d	2023-01-02	1
01251200155	sz3_5d	2023-01-21	2
88120200168	sz24_3d	2023-07-24	1
05313000101	sz24_3d	2023-05-12	2
95012900169	sz10_4d	2023-09-06	1
81071500147	sz6_3d	2023-05-07	1
63012600112	sz4_2d	2023-05-20	2
53102800119	sz22_3d	2023-11-27	1
43051600171	sz15_5d	2023-08-08	2
71091400174	sz17_4d	2023-12-11	3
49121800160	sz19_2d	2023-12-13	2
52071500192	sz13_5d	2023-07-17	1
46040500106	sz21_5d	2023-12-28	3
06251800107	sz13_5d	2023-05-23	1
48022600189	sz24_3d	2023-05-30	3
79110600149	sz20_5d	2023-04-01	3
59121700148	sz12_3d	2023-09-04	1
44091200198	sz10_4d	2023-02-15	1
58020300189	sz9_5d	2023-03-27	2
75052800168	sz13_5d	2023-04-07	2
51122600175	sz15_5d	2023-11-03	3
61081200194	sz23_1d	2023-11-16	1
40070600159	sz15_5d	2023-06-22	4
61051600144	sz12_3d	2023-12-08	3
80061000182	sz15_5d	2023-06-03	3
69061900135	sz22_3d	2023-05-15	1
60070600157	sz13_5d	2023-11-28	1
03302300108	sz10_4d	2023-09-06	1
78090300153	sz9_5d	2023-02-16	4
55122200168	sz16_1d	2023-10-30	1
89080600128	sz13_5d	2023-08-09	2
45051400140	sz13_5d	2023-01-20	2
86090900174	sz13_5d	2023-04-13	5
62110600165	sz10_4d	2023-07-29	2
41021100124	sz7_5d	2023-04-30	3
73102000111	sz10_4d	2023-02-17	2
73110600178	sz8_2d	2023-02-25	1
66042000107	sz10_4d	2023-04-26	4
60090300127	sz20_5d	2023-12-12	1
87031400186	sz20_5d	2023-11-18	5
75071600198	sz14_1d	2023-08-10	1
43050100115	sz12_3d	2023-11-26	1
68080700199	sz7_5d	2023-05-20	4
92090100131	sz15_5d	2023-08-12	2
47111200132	sz15_5d	2023-07-27	1
46040500106	sz21_5d	2023-03-04	1
62121300126	sz15_5d	2023-10-04	1
71091400174	sz17_4d	2023-11-28	1
86110700151	sz12_3d	2023-10-28	1
85061900104	sz22_3d	2023-10-10	3
51032900174	sz21_5d	2023-08-17	1
66101700168	sz9_5d	2023-04-12	4
71050900114	sz3_5d	2023-05-22	4
54082500189	sz1_3d	2023-06-04	3
68112500175	sz8_2d	2023-02-15	1
80061000182	sz15_5d	2023-04-11	1
89012900120	sz3_5d	2023-12-24	2
72080500178	sz22_3d	2023-01-31	2
06251800107	sz13_5d	2023-05-18	3
84060700159	sz4_2d	2023-05-13	1
01240400111	sz9_5d	2023-11-02	4
03302300108	sz10_4d	2023-12-05	3
63042000168	sz15_5d	2023-05-16	3
03253000122	sz20_5d	2023-01-10	2
85112100150	sz20_5d	2023-12-04	5
67052300151	sz19_2d	2023-05-03	2
85080500147	sz10_4d	2023-09-13	2
86123100171	sz3_5d	2023-08-27	1
02291700199	sz14_1d	2023-04-17	1
51032300134	sz15_5d	2023-06-06	3
48030700189	sz1_3d	2023-01-20	1
68122900174	sz15_5d	2023-08-11	2
78090300153	sz9_5d	2023-01-07	1
01251200155	sz3_5d	2023-03-01	3
79061700123	sz10_4d	2023-12-28	3
56100600101	sz2_1d	2023-02-18	1
55022600149	sz15_5d	2023-07-05	3
61081600109	sz5_1d	2023-06-18	1
95030600117	sz3_5d	2023-06-07	3
57030100141	sz6_3d	2023-02-23	1
40070600159	sz15_5d	2023-04-10	5
72072000125	sz5_1d	2023-04-26	1
87101700132	sz18_2d	2023-03-12	1
68020100177	sz12_3d	2023-06-23	1
78021700122	sz22_3d	2023-07-05	2
75010100129	sz20_5d	2023-12-08	1
77112300142	sz10_4d	2023-12-20	3
02322700132	sz4_2d	2023-11-01	2
43050100115	sz12_3d	2023-06-13	0
62032200188	sz13_5d	2023-11-14	1
67102300159	sz1_3d	2023-03-08	1
03253000122	sz20_5d	2023-07-20	3
73062000114	sz6_3d	2023-03-13	2
76082500105	sz10_4d	2023-03-03	4
78061500191	sz6_3d	2023-01-30	1
94120800109	sz23_1d	2023-10-31	1
68122900174	sz15_5d	2023-09-07	3
68050900183	sz19_2d	2023-01-01	1
03210600178	sz12_3d	2023-02-17	1
62101900126	sz17_4d	2023-03-10	3
40010800133	sz15_5d	2023-11-11	1
75093000189	sz11_1d	2023-10-29	1
80070500134	sz9_5d	2023-02-20	2
60101900115	sz20_5d	2023-06-11	3
57110900100	sz3_5d	2023-01-14	3
77011300119	sz13_5d	2023-06-06	2
03280200177	sz11_1d	2023-05-11	1
64112700164	sz1_3d	2023-10-27	1
69081500108	sz21_5d	2023-09-03	3
51080200189	sz20_5d	2023-10-20	2
40122900194	sz15_5d	2023-09-04	5
43053000191	sz17_4d	2023-03-05	2
86090900174	sz13_5d	2023-01-06	4
62032200188	sz13_5d	2023-07-16	4
05220600135	sz18_2d	2023-09-14	1
83011900136	sz23_1d	2023-05-05	1
85030100137	sz3_5d	2023-03-22	1
97032500167	sz15_5d	2023-03-01	1
86120800128	sz9_5d	2023-05-04	4
63090800130	sz16_1d	2023-06-12	1
95012900169	sz10_4d	2023-10-03	2
86062500164	sz1_3d	2023-05-09	2
98051200180	sz5_1d	2023-02-19	1
69031800180	sz22_3d	2023-05-28	1
61070100111	sz3_5d	2023-10-26	3
75061000164	sz20_5d	2023-08-02	4
53082900180	sz10_4d	2023-12-25	3
91072000157	sz7_5d	2023-05-26	5
81092200161	sz6_3d	2023-04-14	1
47031800157	sz17_4d	2023-05-08	3
73110600178	sz8_2d	2023-04-01	2
06311900110	sz13_5d	2023-04-04	2
02321900168	sz21_5d	2023-02-21	2
70112200160	sz17_4d	2023-04-26	1
68121700102	sz19_2d	2023-10-01	1
52073000195	sz6_3d	2023-04-13	1
01271700152	sz7_5d	2023-08-25	2
88110900142	sz8_2d	2023-06-05	1
45031600159	sz7_5d	2023-02-21	3
49041500182	sz21_5d	2023-01-29	1
51053100186	sz24_3d	2023-08-19	2
71090600179	sz6_3d	2023-07-27	3
81012200125	sz18_2d	2023-09-16	1
44031900108	sz17_4d	2023-09-09	2
74052400125	sz23_1d	2023-11-09	1
65010800136	sz12_3d	2023-12-30	0
47031800157	sz17_4d	2023-05-07	4
57031800170	sz3_5d	2023-05-20	3
51080200189	sz20_5d	2023-03-01	1
04281100190	sz14_1d	2023-07-09	1
00271700193	sz23_1d	2023-01-12	1
00290200153	sz22_3d	2023-10-14	1
40111500189	sz17_4d	2023-06-27	4
79061800144	sz15_5d	2023-10-17	3
68010800175	sz20_5d	2023-06-12	3
